titre,ville,code_postal,prix,surface,type_bien,pieces,url
Appartement 36m² à strasbourg,Strasbourg,67200,151 988 €,36 m²,>Appartements à vendre,1 pièce,https://www.etreproprio.com/immobilier-23975825-vente-appartement-36m-a-strasbourg-strasbourg
Appartement 94m² à strasbourg,Strasbourg,67100,242 476 €,95 m²,>Appartements à vendre,5 pièces,https://www.etreproprio.com/immobilier-23975828-vente-appartement-94m-a-strasbourg-strasbourg
Appartement 96m² à strasbourg,Strasbourg,67000,367 948 €,97 m²,>Appartements à vendre,4 pièces,https://www.etreproprio.com/immobilier-23975836-vente-appartement-96m-a-strasbourg-strasbourg
Opportunite foncia -  appartement 4 pièces au coeur de l'esplanade,Strasbourg,67000,345 500 €,97 m²,>Appartements à vendre,4 pièces,https://www.etreproprio.com/immobilier-23856035-vente-opportunite-foncia-appartement-4-pieces-au-coeur-de-l-esplanade-strasbourg
Appartement 75m² à strasbourg,Strasbourg,67100,240 900 €,75 m²,>Appartements à vendre,4 pièces,https://www.etreproprio.com/immobilier-23962661-vente-appartement-75m-a-strasbourg-strasbourg
Appartement 43m² à strasbourg,Strasbourg,67100,158 500 €,43 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23962659-vente-appartement-43m-a-strasbourg-strasbourg
Agréable appartement 4 pièces 91 m² env. à strasbourg stockfeld,Strasbourg,67100,285 000 €,91 m²,>Appartements à vendre,4 pièces,https://www.etreproprio.com/immobilier-23961859-vente-agreable-appartement-4-pieces-91-m-env-a-strasbourg-stockfeld-strasbourg
Appartement 66m² à strasbourg,Strasbourg,67100,199 000 €,66 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23962660-vente-appartement-66m-a-strasbourg-strasbourg
"À vendre – appartement 5 pièces – 96 m² – 1 rue schulmeister, 67100 strasbourg (meinau)",Strasbourg,67100,325 500 €,100 m²,>Appartements à vendre,5 pièces,https://www.etreproprio.com/immobilier-23964059-vente-a-vendre-appartement-5-pieces-96-m-1-rue-schulmeister-67100-strasbourg-meinau-strasbourg
Exclusif proche de strasbourg propriété agricole,Strasbourg,67000,1 680 000 €,220 m²/ 700 000 m²,>Maisons à vendre,6 pièces,https://www.etreproprio.com/immobilier-23961793-vente-exclusif-proche-de-strasbourg-propriete-agricole-strasbourg
Local commercial allée de la robertsau,Strasbourg,67000,475 000 €,132 m²,>Commerces à vendre,,https://www.etreproprio.com/immobilier-23354021-vente-local-commercial-allee-de-la-robertsau-strasbourg
Exclusivite foncia - spacieux 3 pièces à deux pas de l'arrêt de tram saint florent,Strasbourg,67200,192 000 €,63 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23957962-vente-exclusivite-foncia-spacieux-3-pieces-a-deux-pas-de-l-arret-de-tram-saint-florent-strasbourg
T2-halles-46.63,Strasbourg,67000,165 000 €,46 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23955100-vente-t2-halles-4663-strasbourg
Secteur meinau 3/4 pièces,Strasbourg,67100,249 999 €,76 m²,>Appartements à vendre,4 pièces,https://www.etreproprio.com/immobilier-23949507-vente-secteur-meinau-34-pieces-strasbourg
Appartement 23m² à strasbourg,Strasbourg,67200,96 000 €,24 m²,>Appartements à vendre,1 pièce,https://www.etreproprio.com/immobilier-22255735-vente-appartement-23m-a-strasbourg-strasbourg
Strasbourg : orangerie  4 pièces - balcon - cave,Strasbourg,67000,315 000 €,93 m²,>Appartements à vendre,4 pièces,https://www.etreproprio.com/immobilier-23959784-vente-strasbourg-orangerie-4-pieces-balcon-cave-strasbourg
Appartement 42m² à strasbourg,Strasbourg,67100,158 000 €,42 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23955855-vente-appartement-42m-a-strasbourg-strasbourg
Appartement 123m² à strasbourg,Strasbourg,67000,479 900 €,123 m²,>Appartements à vendre,5 pièces,https://www.etreproprio.com/immobilier-23844667-vente-appartement-123m-a-strasbourg-strasbourg
Appartement 75m² à strasbourg,Strasbourg,67000,259 000 €,75 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23960226-vente-appartement-75m-a-strasbourg-strasbourg
Krutenau appartement à saisir !,Strasbourg,67000,255 730 €,52 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23950827-vente-krutenau-appartement-a-saisir-strasbourg
67m² à strasbourg,Strasbourg,67000,61 000 €,67 m²,>Autres à vendre,,https://www.etreproprio.com/immobilier-23565870-vente-67m-a-strasbourg-strasbourg
"À vendre – a strasbourg - spacieux appartement traversant de 89 m², lumineux et sans vis-à-vis –",Strasbourg,67000,299 000 €,89 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23954164-vente-a-vendre-a-strasbourg-spacieux-appartement-traversant-de-89-m-lumineux-et-sans-vis-a-vis-strasbourg
Appartement strasbourg 3 pièce(s) 76.77m2,Strasbourg,67000,300 000 €,77 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23501329-vente-appartement-strasbourg-3-pieces-7677m2-strasbourg
Strasbourg : orangerie 3 pièces - balcon - cave,Strasbourg,67000,210 000 €,55 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23959785-vente-strasbourg-orangerie-3-pieces-balcon-cave-strasbourg
Appartement 25m² à strasbourg,Strasbourg,67100,99 000 €,25 m²,>Appartements à vendre,1 pièce,https://www.etreproprio.com/immobilier-23952236-vente-appartement-25m-a-strasbourg-strasbourg
Appartement strasbourg 5 pièces,Strasbourg,67000,239 650 €,85 m²,>Appartements à vendre,5 pièces,https://www.etreproprio.com/immobilier-23956308-vente-appartement-strasbourg-5-pieces-strasbourg
Strasbourg : orangerie 3 pièces - balcon - cave,Strasbourg,67000,200 000 €,57 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23959786-vente-strasbourg-orangerie-3-pieces-balcon-cave-strasbourg
Maison de ville avec jardin et double garage,Strasbourg,67000,651 000 €,107 m²/ 126 m²,>Maisons à vendre,6 pièces,https://www.etreproprio.com/immobilier-23959104-vente-maison-de-ville-avec-jardin-et-double-garage-strasbourg
Appartement 83m² à strasbourg,Strasbourg,67000,432 000 €,83 m²,>Appartements à vendre,4 pièces,https://www.etreproprio.com/immobilier-23496104-vente-appartement-83m-a-strasbourg-strasbourg
Appartement 42m² à strasbourg,Strasbourg,67100,161 000 €,43 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23680235-vente-appartement-42m-a-strasbourg-strasbourg
Cronenbourg - t3 - 62m²,Strasbourg,67200,167 400 €,62 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23955102-vente-cronenbourg-t3-62m-strasbourg
Loft en dernier etage neuf quartier robertsau,Strasbourg,67000,265 200 €,56 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23959102-vente-loft-en-dernier-etage-neuf-quartier-robertsau-strasbourg
Appartement 38m² à strasbourg,Strasbourg,67100,129 000 €,38 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23955852-vente-appartement-38m-a-strasbourg-strasbourg
Exceptionnel - vue panoramique t5 attique,Strasbourg,67000,784 900 €,106 m²,>Appartements à vendre,5 pièces,https://www.etreproprio.com/immobilier-23951545-vente-exceptionnel-vue-panoramique-t5-attique-strasbourg
Schiltigheim appartement 4 pieces terrasse,Strasbourg,67200,324 000 €,78 m²,>Appartements à vendre,4 pièces,https://www.etreproprio.com/immobilier-23956411-vente-schiltigheim-appartement-4-pieces-terrasse-strasbourg
Appartement 54m² à strasbourg,Strasbourg,67000,210 000 €,54 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-21679402-vente-appartement-54m-a-strasbourg-strasbourg
Appartement 59m² à strasbourg,Strasbourg,67200,169 900 €,59 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-22927847-vente-appartement-59m-a-strasbourg-strasbourg
Appartement 76m² à strasbourg,Strasbourg,67000,374 500 €,76 m²,>Appartements à vendre,4 pièces,https://www.etreproprio.com/immobilier-23957113-vente-appartement-76m-a-strasbourg-strasbourg
1p neuf quartier robertsau,Strasbourg,67000,173 250 €,32 m²,>Appartements à vendre,1 pièce,https://www.etreproprio.com/immobilier-23959103-vente-1p-neuf-quartier-robertsau-strasbourg
Strasbourg hypercentre - les jardins d'alsace - spacieux 2 pieces - 73m² - 2 caves - possibilite parking,Strasbourg,67000,180 000 €,73 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23105986-vente-strasbourg-hypercentre-les-jardins-d-alsace-spacieux-2-pieces-73m-2-caves-possibilite-parking-strasbourg
Appartement strasbourg 3 pièces 65 m2 / centre ville / balcon / parking,Strasbourg,67100,345 000 €,65 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23956313-vente-appartement-strasbourg-3-pieces-65-m2-centre-ville-balcon-parking-strasbourg
Contades-appartement- 120m2,Strasbourg,67000,598 500 €,120 m²,>Appartements à vendre,4 pièces,https://www.etreproprio.com/immobilier-23955104-vente-contades-appartement-120m2-strasbourg
Appartement à vendre,Strasbourg,67100,298 000 €,85 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23954166-vente-appartement-a-vendre-strasbourg
Maison 195m² à strasbourg,Strasbourg,67100,936 000 €,195 m²,>Maisons à vendre,8 pièces,https://www.etreproprio.com/immobilier-23952239-vente-maison-195m-a-strasbourg-strasbourg
Appartement 37m² à strasbourg,Strasbourg,67200,135 500 €,37 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23961018-vente-appartement-37m-a-strasbourg-strasbourg
3p neuf avec terrasse de 17.5m²,Strasbourg,67000,270 400 €,53 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23959101-vente-3p-neuf-avec-terrasse-de-175m-strasbourg
Maison des années 60 au potentiel rare quartier des villas à la meinau,Strasbourg,67100,599 000 €,242 m²/ 445 m²,>Maisons à vendre,9 pièces,https://www.etreproprio.com/immobilier-23952975-vente-maison-des-annees-60-au-potentiel-rare-quartier-des-villas-a-la-meinau-strasbourg
A vendre strasbourg appartement 5/6 pièces 130 m2,Strasbourg,67000,386 000 €,130 m²,>Appartements à vendre,6 pièces,https://www.etreproprio.com/immobilier-23954163-vente-a-vendre-strasbourg-appartement-56-pieces-130-m2-strasbourg
"Avenue racine – studio 31,8 m² avec terrasse dans copropriété 2017. emplacement recherché, idéal investissement ou première acqu",Strasbourg,67200,118 000 €,31 m²,>Appartements à vendre,1 pièce,https://www.etreproprio.com/immobilier-23957963-vente-avenue-racine-studio-318-m-avec-terrasse-dans-copropriete-2017-emplacement-recherche-ideal-investissement-ou-premiere-acqu-strasbourg
Appartement neuf 3 pièces 61 m² strasbourg robertsau,Strasbourg,67000,355 000 €,61 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23959626-vente-appartement-neuf-3-pieces-61-m-strasbourg-robertsau-strasbourg
"Muse d'art modern - t3 - 72,4m²",Strasbourg,67000,215 000 €,72 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23955101-vente-muse-d-art-modern-t3-724m-strasbourg
Appartement 29m² à strasbourg,Strasbourg,67100,128 000 €,30 m²,>Appartements à vendre,1 pièce,https://www.etreproprio.com/immobilier-23952238-vente-appartement-29m-a-strasbourg-strasbourg
Appartement 3 pièces avec terrasse - strasbourg jardin des deux rives,Strasbourg,67000,254 600 €,64 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23188977-vente-appartement-3-pieces-avec-terrasse-strasbourg-jardin-des-deux-rives-strasbourg
Appartement 87m² à strasbourg,Strasbourg,67100,241 500 €,88 m²,>Appartements à vendre,4 pièces,https://www.etreproprio.com/immobilier-23957260-vente-appartement-87m-a-strasbourg-strasbourg
Appartement 17m² à strasbourg,Strasbourg,67200,79 200 €,17 m²,>Appartements à vendre,1 pièce,https://www.etreproprio.com/immobilier-23556445-vente-appartement-17m-a-strasbourg-strasbourg
Strasbourg : orangerie 3 pièces - balcon - cave,Strasbourg,67000,215 000 €,57 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23959783-vente-strasbourg-orangerie-3-pieces-balcon-cave-strasbourg
Maison 200m² à strasbourg,Strasbourg,67100,895 000 €,200 m²/ 629 m²,>Maisons à vendre,8 pièces,https://www.etreproprio.com/immobilier-23955342-vente-maison-200m-a-strasbourg-strasbourg
Appartement 125m² à strasbourg,Strasbourg,67000,499 800 €,125 m²,>Appartements à vendre,5 pièces,https://www.etreproprio.com/immobilier-23946899-vente-appartement-125m-a-strasbourg-strasbourg
Appartement 53m² à strasbourg,Strasbourg,67100,125 000 €,53 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23844946-vente-appartement-53m-a-strasbourg-strasbourg
Appartement 44m² à strasbourg,Strasbourg,67200,n.c. €,45 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23943364-vente-appartement-44m-a-strasbourg-strasbourg
Appartement 67m² à strasbourg,Strasbourg,67200,169 000 €,68 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23940453-vente-appartement-67m-a-strasbourg-strasbourg
Appartement 4 pièces rénové 2025,Strasbourg,67200,235 000 €,86 m²,>Appartements à vendre,4 pièces,https://www.etreproprio.com/immobilier-23937390-vente-appartement-4-pieces-renove-2025-strasbourg
"Strasbourg prestigieux 7 pieces ""pieds dans l'eau""",Strasbourg,67000,1 790 000 €,321 m²,>Appartements à vendre,7 pièces,https://www.etreproprio.com/immobilier-19653947-vente-strasbourg-prestigieux-7-pieces-pieds-dans-l-eau-strasbourg
"À vendre – appartement f2 de 55,02 m² avec balcon strasbourg",Strasbourg,67000,159 000 €,55 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23944936-vente-a-vendre-appartement-f2-de-5502-m-avec-balcon-strasbourg-strasbourg
65m² à strasbourg,Strasbourg,67000,296 000 €,65 m²,>Autres à vendre,,https://www.etreproprio.com/immobilier-23449112-vente-65m-a-strasbourg-strasbourg
Appartement 4 pieces + garage + parking,Strasbourg,67200,199 900 €,77 m²,>Appartements à vendre,4 pièces,https://www.etreproprio.com/immobilier-21216213-vente-appartement-4-pieces-garage-parking-strasbourg
Appartement 69m² à strasbourg,Strasbourg,67200,225 000 €,70 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23938120-vente-appartement-69m-a-strasbourg-strasbourg
Cathedrale 3 pieces 66.17 m2,Strasbourg,67000,321 000 €,66 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23944921-vente-cathedrale-3-pieces-6617-m2-strasbourg
Strasbourg centre - 2 pieces meuble - 29m² hab./37m² au sol  - libre d'occupation,Strasbourg,67000,95 000 €,29 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23944931-vente-strasbourg-centre-2-pieces-meuble-29m-hab37m-au-sol-libre-d-occupation-strasbourg
Appartement 44m² à strasbourg,Strasbourg,67100,171 000 €,44 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23942578-vente-appartement-44m-a-strasbourg-strasbourg
Appartement 63m² à strasbourg,Strasbourg,67200,169 000 €,63 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23938518-vente-appartement-63m-a-strasbourg-strasbourg
Appartement 77m² à strasbourg,Strasbourg,67200,189 000 €,77 m²,>Appartements à vendre,4 pièces,https://www.etreproprio.com/immobilier-23278828-vente-appartement-77m-a-strasbourg-strasbourg
Commerce 136m² à strasbourg,Strasbourg,67100,255 000 €,136 m²,>Commerces à vendre,,https://www.etreproprio.com/immobilier-23939988-vente-commerce-136m-a-strasbourg-strasbourg
4 pieces a 2 pas du tram,Strasbourg,67100,189 000 €,71 m²,>Appartements à vendre,4 pièces,https://www.etreproprio.com/immobilier-23944930-vente-4-pieces-a-2-pas-du-tram-strasbourg
Appartement 2/3 pièces strasbourg centre ville gare - terrasse - dernier étage - vue cathédrale - 72.88 m² au sol - 32.63 m² car,Strasbourg,67000,149 000 €,53 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-21417131-vente-appartement-23-pieces-strasbourg-centre-ville-gare-terrasse-dernier-etage-vue-cathedrale-7288-m-au-sol-3263-m-car-strasbourg
Appartement 3 pièces à strasbourg,Strasbourg,67100,198 000 €,60 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23945466-vente-appartement-3-pieces-a-strasbourg-strasbourg
Appartement 83m² à strasbourg,Strasbourg,67100,249 000 €,83 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23943348-vente-appartement-83m-a-strasbourg-strasbourg
Strasbourg - esplanade - 7 pièces de 226m2,Strasbourg,67000,450 000 €,226 m²,>Appartements à vendre,7 pièces,https://www.etreproprio.com/immobilier-23938242-vente-strasbourg-esplanade-7-pieces-de-226m2-strasbourg
Appartement 2 pièces à strasbourg,Strasbourg,67100,177 000 €,41 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23945473-vente-appartement-2-pieces-a-strasbourg-strasbourg
Appartement 21m² à strasbourg,Strasbourg,67000,114 450 €,21 m²,>Appartements à vendre,1 pièce,https://www.etreproprio.com/immobilier-23940454-vente-appartement-21m-a-strasbourg-strasbourg
Strasbourg quai des pêcheurs magnifique duplex de 115m2 hab 152m2 sol!,Strasbourg,67000,645 000 €,115 m²,>Appartements à vendre,5 pièces,https://www.etreproprio.com/immobilier-23273580-vente-strasbourg-quai-des-pecheurs-magnifique-duplex-de-115m2-hab-152m2-sol-strasbourg
Appartement 46m² à strasbourg,Strasbourg,67100,139 900 €,47 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23942579-vente-appartement-46m-a-strasbourg-strasbourg
Appartement 24m² à strasbourg,Strasbourg,67100,118 000 €,24 m²,>Appartements à vendre,1 pièce,https://www.etreproprio.com/immobilier-23933987-vente-appartement-24m-a-strasbourg-strasbourg
Appartement t3 rénové à vendre avec cour privative,Strasbourg,67100,269 000 €,74 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23935706-vente-appartement-t3-renove-a-vendre-avec-cour-privative-strasbourg
"Strasbourg koenigshoffen – superbe duplex 3p de 63 m² au dernier étage avec terrasse vue cathédrale, cave et parking en sous-sol",Strasbourg,67200,189 900 €,64 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23171236-vente-strasbourg-koenigshoffen-superbe-duplex-3p-de-63-m-au-dernier-etage-avec-terrasse-vue-cathedrale-cave-et-parking-en-sous-sol-strasbourg
Appartement 42m² à strasbourg,Strasbourg,67100,188 000 €,43 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23933988-vente-appartement-42m-a-strasbourg-strasbourg
Appartement 3 pièces - emplacement idéal proche gare - strasbourg,Strasbourg,67000,189 000 €,51 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23931014-vente-appartement-3-pieces-emplacement-ideal-proche-gare-strasbourg-strasbourg
Strasbourg - appartement 98 m² + terrasse 29 m²,Strasbourg,67100,295 000 €,98 m²,>Appartements à vendre,5 pièces,https://www.etreproprio.com/immobilier-23935702-vente-strasbourg-ganzau-appartement-98-m-terrasse-29-m-strasbourg
Appartement type 2/3 vieux lille,Lille,59800,275 000 €,56 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-22033960-vente-appartement-type-23-vieux-lille-lille
"L'espace, c'est un luxe absolu.",Lille,59000,598 500 €,98 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23975941-vente-l-espace-c-est-un-luxe-absolu-lille
Appartement 64m² à lille,Lille,59000,184 000 €,64 m²/ 14 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23973493-vente-appartement-64m-a-lille-lille
On voyage autour du  monde à la recherche de quelque chose et on rentre chez soi pour le trouver.,Lille,59000,384 800 €,99 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23976561-vente-on-voyage-autour-du-monde-a-la-recherche-de-quelque-chose-et-on-rentre-chez-soi-pour-le-trouver-lille
"Charmante maison, 3 chambres, veranda, terrasse et jardin à moins de 10 minutes de lille",Lille,59155,210 000 €,98 m²,>Maisons à vendre,4 pièces,https://www.etreproprio.com/immobilier-23968519-vente-charmante-maison-3-chambres-veranda-terrasse-et-jardin-a-moins-de-10-minutes-de-lille-lille
Lille  rue grande chaussée appartement  t4,Lille,59000,493 000 €,106 m²,>Appartements à vendre,4 pièces,https://www.etreproprio.com/immobilier-21477660-vente-lille-rue-grande-chaussee-appartement-t4-lille
Appartement t3 - secteur caulier - 2 chambres + balcon - 61m²,Lille,59000,218 500 €,60 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23967349-vente-appartement-t3-secteur-caulier-2-chambres-balcon-61m-lille
Appartement 49m² à lille,Lille,59800,239 900 €,49 m²/ 84 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23811142-vente-appartement-49m-a-lille-lille
"Appartement  t3 + parking sécurisé, quartier république beaux-arts",Lille,59000,386 900 €,69 m²,>Appartements à vendre,4 pièces,https://www.etreproprio.com/immobilier-23966768-vente-appartement-t3-parking-securise-quartier-republique-beaux-arts-lille
Lille wazemmes  2 pièce(s) 47m2,Lille,59000,158 000 €,46 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23967721-vente-lille-wazemmes-2-pieces-47m2-lille
Lille wazemmes t2 rénové,Lille,59000,158 000 €,35 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23967802-vente-lille-wazemmes-t2-renove-lille
Lille wazemmes  t2  47 m2,Lille,59000,164 000 €,47 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23967803-vente-lille-wazemmes-t2-47-m2-lille
Appartement en centre ville de lille 54.98 m2,Lille,59000,244 000 €,54 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23966311-vente-appartement-en-centre-ville-de-lille-5498-m2-lille
Commerce 65m² à lille,Lille,59000,125 000 €,65 m²,>Commerces à vendre,,https://www.etreproprio.com/immobilier-23000857-vente-commerce-65m-a-lille-lille
Appartement t4 - 62.64 m² - 1 place de parking - 1 box,Lille,59000,288 990 €,62 m²,>Appartements à vendre,4 pièces,https://www.etreproprio.com/immobilier-23967392-vente-appartement-t4-6264-m-1-place-de-parking-1-box-lille
"Charmante maison, 3 chambres+ terrasse à lille limite ronchin",Lille,59000,286 000 €,103 m²,>Maisons à vendre,4 pièces,https://www.etreproprio.com/immobilier-23495308-vente-charmante-maison-3-chambres-terrasse-a-lille-limite-ronchin-lille
Appartement  lumineux  109 m2  4 chambres+ balcon secteur république beaux-arts,Lille,59000,449 700 €,109 m²,>Appartements à vendre,5 pièces,https://www.etreproprio.com/immobilier-23480254-vente-appartement-lumineux-109-m2-4-chambres-balcon-secteur-republique-beaux-arts-lille
Appt 105 m2 + garage + caves,Lille,59000,179 000 €,105 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23967467-vente-appt-105-m2-garage-caves-lille
Vieux lille  place du concert appartement  t3 avec garage,Lille,59000,315 000 €,66 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23966679-vente-vieux-lille-place-du-concert-appartement-t3-avec-garage-lille
Appartement 70m² à lille,Lille,59000,244 000 €,70 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23621440-vente-appartement-70m-a-lille-lille
Appartement 70m² à lille,Lille,59800,279 000 €,70 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23972278-vente-appartement-70m-a-lille-lille
Commerce 250m² à lille,Lille,59000,790 000 €,250 m²,>Commerces à vendre,,https://www.etreproprio.com/immobilier-22681961-vente-commerce-250m-a-lille-lille
Maison 92m² à lille,Lille,59000,195 000 €,92 m²,>Maisons à vendre,3 pièces,https://www.etreproprio.com/immobilier-23977874-vente-maison-92m-a-lille-lille
Maison 61m² à lille,Lille,59000,248 500 €,61 m²,>Maisons à vendre,3 pièces,https://www.etreproprio.com/immobilier-23978440-vente-maison-61m-a-lille-lille
Appartement 34m² à lille,Lille,59000,109 900 €,34 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23962360-vente-appartement-34m-a-lille-lille
Vente appartement lille(59800) 425 000ï¿œ,Lille,59800,425 000 €,118 m²,>Appartements à vendre,5 pièces,https://www.etreproprio.com/immobilier-23962616-vente-vente-appartement-lille59800-425-000i-oe-lille
Appartement 50m² à lille,Lille,59000,158 000 €,50 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23656210-vente-appartement-50m-a-lille-lille
T2 avec parking lille st maurice,Lille,59000,239 000 €,52 m²/ 799 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23606918-vente-t2-avec-parking-lille-st-maurice-lille
"Vieux lille - maison 4 chambres, terrasse, parking",Lille,59800,1 095 000 €,216 m²,>Maisons à vendre,5 pièces,https://www.etreproprio.com/immobilier-23963280-vente-vieux-lille-maison-4-chambres-terrasse-parking-lille
Laforêt - appartement - lille - 64.74 m2 - 2ch - parking - terrasse,Lille,59000,210 000 €,65 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23964225-vente-laforet-appartement-lille-6474-m2-2ch-parking-terrasse-lille
Maison 116m² à lille,Lille,59000,408 100 €,116 m²,>Maisons à vendre,,https://www.etreproprio.com/immobilier-23665716-vente-maison-116m-a-lille-lille
Appartement t2 - 46m2,Lille,59000,150 000 €,46 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23450765-vente-appartement-t2-46m2-lille
Maison a travaux lille vauban - gambetta,Lille,59000,270 000 €,129 m²,>Maisons à vendre,5 pièces,https://www.etreproprio.com/immobilier-23951844-vente-maison-a-travaux-lille-vauban-gambetta-lille
Appartement 89m² à lille,Lille,59000,425 000 €,89 m²,>Appartements à vendre,4 pièces,https://www.etreproprio.com/immobilier-23953951-vente-appartement-89m-a-lille-lille
Commerces/negoce,Lille,59000,65 000 €,74 m²,>Commerces à vendre,,https://www.etreproprio.com/immobilier-23951045-vente-commercesnegoce-lille
Appartement 135m² à lille,Lille,59000,458 000 €,136 m²,>Appartements à vendre,7 pièces,https://www.etreproprio.com/immobilier-23951992-vente-appartement-135m-a-lille-lille
Appartement 28m² à lille,Lille,59000,154 000 €,28 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23953952-vente-appartement-28m-a-lille-lille
Appartement 57m² à lille,Lille,59000,294 000 €,58 m²,>Appartements à vendre,3 pièces,https://www.etreproprio.com/immobilier-23957165-vente-appartement-57m-a-lille-lille
Appartement 110m² à lille,Lille,59800,299 900 €,110 m²/ 64 m²,>Appartements à vendre,,https://www.etreproprio.com/immobilier-23958406-vente-appartement-110m-a-lille-lille
Vieux - lille / charmant t2 avec cachet,Lille,59000,262 000 €,59 m²,>Appartements à vendre,2 pièces,https://www.etreproprio.com/immobilier-23951761-vente-vieux-lille-charmant-t2-avec-cachet-lille
Maison 154m² à lille,Lille,59000,328 600 €,155 m²,>Maisons à vendre,7 pièces,https://www.etreproprio.com/immobilier-23952216-vente-maison-154m-a-lille-lille
Spacieux appartement lumineux avec balcon à lille,Lille,59000,249 000 €,86 m²,>Appartements à vendre,4 pièces,https://www.etreproprio.com/immobilier-23952381-vente-spacieux-appartement-lumineux-avec-balcon-a-lille-lille
Appartement 118m² à lille,Lille,59000,278 200 €,118 m²/ 61 m²,>Appartements à vendre,,https://www.etreproprio.com/immobilier-23952755-vente-appartement-118m-a-lille-lille
